,2016,0.00
01,2016,18.66
01001,2016,14.75
01003,2016,19.26
01005,2016,14.62
01007,2016,11.18
01009,2016,12.15
01011,2016,11.55
01013,2016,13.37
01015,2016,16.32
01017,2016,13.04
01019,2016,15.19
01021,2016,13.44
01023,2016,14.70
01025,2016,17.48
01027,2016,12.49
01029,2016,13.62
01031,2016,15.52
01033,2016,17.68
01035,2016,10.82
01037,2016,10.81
01039,2016,13.33
01041,2016,9.11
01043,2016,13.49
01045,2016,13.02
01047,2016,8.68
01049,2016,21.60
01051,2016,13.43
01053,2016,18.00
01055,2016,16.79
01057,2016,13.35
01059,2016,13.42
01061,2016,12.99
01063,2016,12.09
01065,2016,11.74
01067,2016,14.36
01069,2016,18.19
01071,2016,16.90
01073,2016,24.67
01075,2016,12.97
01077,2016,18.69
01079,2016,13.53
01081,2016,22.50
01083,2016,18.85
01085,2016,9.88
01087,2016,12.38
01089,2016,26.03
01091,2016,11.79
01093,2016,13.91
01095,2016,20.56
01097,2016,18.93
01099,2016,15.78
01101,2016,20.85
01103,2016,18.31
01105,2016,8.80
01107,2016,13.81
01109,2016,14.79
01111,2016,12.83
01113,2016,12.31
01115,2016,13.42
01117,2016,22.95
01119,2016,13.78
01121,2016,13.56
01123,2016,14.60
01125,2016,20.37
01127,2016,10.84
01129,2016,15.31
01131,2016,12.12
01133,2016,11.85
02,2016,15.13
02701,2016,16.10
02702,2016,12.25
02703,2016,11.83
02704,2016,15.86
02705,2016,17.65
02706,2016,12.64
02707,2016,11.04
02708,2016,7.47
02709,2016,12.18
02710,2016,10.10
02711,2016,11.09
02712,2016,13.46
02713,2016,17.07
02714,2016,19.30
02715,2016,13.55
02716,2016,15.49
02717,2016,19.48
02718,2016,20.00
02719,2016,14.96
02720,2016,25.59
02721,2016,22.65
02722,2016,19.97
02723,2016,10.89
02724,2016,23.40
02725,2016,18.43
02726,2016,20.06
02727,2016,16.56
02728,2016,18.31
02729,2016,9.93
02730,2016,11.65
02731,2016,10.05
02732,2016,14.29
02733,2016,20.18
02734,2016,20.79
02735,2016,19.78
02736,2016,23.85
02737,2016,9.17
02738,2016,14.63
02739,2016,15.05
02740,2016,23.81
04001,2016,3.84
04003,2016,7.86
04005,2016,10.39
04007,2016,9.36
04009,2016,7.43
04011,2016,7.47
04012,2016,5.20
04013,2016,13.12
04015,2016,5.38
04017,2016,6.81
04019,2016,11.68
04021,2016,8.58
04023,2016,12.33
04025,2016,8.64
04027,2016,9.21
05,2016,24.80
05001,2016,28.28
05003,2016,19.39
05005,2016,15.85
05007,2016,30.34
05009,2016,19.13
05011,2016,20.74
05013,2016,18.62
05015,2016,19.55
05017,2016,19.90
05019,2016,28.51
05021,2016,16.29
05023,2016,20.25
05025,2016,20.94
05027,2016,20.13
05029,2016,22.36
05031,2016,25.37
05033,2016,21.24
05035,2016,17.79
05037,2016,16.32
05039,2016,20.55
05041,2016,22.99
05043,2016,25.61
05045,2016,29.02
05047,2016,18.06
05049,2016,13.06
05051,2016,25.76
05053,2016,20.14
05055,2016,22.03
05057,2016,16.28
05059,2016,20.78
05061,2016,19.84
05063,2016,23.02
05065,2016,16.75
05067,2016,21.21
05069,2016,18.84
05071,2016,19.48
05073,2016,10.05
05075,2016,18.52
05077,2016,18.13
05079,2016,18.15
05081,2016,13.91
05083,2016,20.77
05085,2016,21.85
05087,2016,16.89
05089,2016,14.94
05091,2016,12.61
05093,2016,18.18
05095,2016,19.33
05097,2016,17.76
05099,2016,18.66
05101,2016,16.96
05103,2016,24.13
05105,2016,16.54
05107,2016,17.60
05109,2016,21.71
05111,2016,17.61
05113,2016,22.08
05115,2016,24.42
05117,2016,20.93
05119,2016,35.16
05121,2016,19.13
05123,2016,16.30
05125,2016,27.01
05127,2016,16.91
05129,2016,13.78
05131,2016,24.04
05133,2016,16.30
05135,2016,19.55
05137,2016,16.98
05139,2016,19.63
05141,2016,21.12
05143,2016,30.14
05145,2016,22.34
05147,2016,15.77
05149,2016,20.50
10001,2016,0.88
10003,2016,1.18
10005,2016,0.52
11,2016,37.30
11001,2016,37.30
12,2016,27.04
12001,2016,28.93
12003,2016,18.87
12005,2016,19.71
12007,2016,19.23
12009,2016,24.78
12011,2016,28.40
12013,2016,17.80
12015,2016,20.27
12017,2016,18.03
12019,2016,22.14
12021,2016,23.90
12023,2016,17.12
12027,2016,17.10
12029,2016,11.85
12031,2016,26.84
12033,2016,25.43
12035,2016,20.02
12037,2016,20.39
12039,2016,19.45
12041,2016,12.14
12043,2016,15.17
12045,2016,18.69
12047,2016,12.33
12049,2016,20.05
12051,2016,24.41
12053,2016,17.26
12055,2016,21.02
12057,2016,28.50
12059,2016,17.18
12061,2016,23.23
12063,2016,17.99
12065,2016,15.88
12067,2016,16.58
12069,2016,22.63
12071,2016,22.03
12073,2016,28.78
12075,2016,15.28
12077,2016,18.89
12079,2016,16.37
12081,2016,24.13
12083,2016,19.54
12085,2016,21.48
12086,2016,62.66
12087,2016,24.50
12089,2016,21.81
12091,2016,22.46
12093,2016,19.41
12095,2016,30.84
12097,2016,25.98
12099,2016,24.35
12101,2016,21.02
12103,2016,22.76
12105,2016,25.42
12107,2016,17.37
12109,2016,27.13
12111,2016,19.55
12113,2016,22.91
12115,2016,24.44
12117,2016,28.82
12119,2016,23.45
12121,2016,14.98
12123,2016,15.89
12125,2016,16.87
12127,2016,21.05
12129,2016,15.17
12131,2016,18.72
12133,2016,15.99
13,2016,24.45
13001,2016,14.84
13003,2016,7.72
13005,2016,14.64
13007,2016,9.66
13009,2016,21.25
13011,2016,12.00
13013,2016,17.95
13015,2016,18.15
13017,2016,10.69
13019,2016,8.52
13021,2016,22.96
13023,2016,19.22
13025,2016,13.39
13027,2016,13.66
13029,2016,22.83
13031,2016,21.40
13033,2016,14.33
13035,2016,15.45
13037,2016,15.40
13039,2016,19.40
13043,2016,17.55
13045,2016,18.75
13047,2016,21.90
13049,2016,16.41
13051,2016,25.59
13053,2016,9.35
13055,2016,16.12
13057,2016,26.77
13059,2016,35.23
13061,2016,16.47
13063,2016,21.13
13065,2016,13.67
13067,2016,34.55
13069,2016,12.83
13071,2016,12.92
13073,2016,21.70
13075,2016,10.68
13077,2016,23.02
13079,2016,13.86
13081,2016,16.63
13083,2016,23.69
13085,2016,18.74
13087,2016,17.27
13089,2016,41.18
13091,2016,18.03
13093,2016,14.91
13095,2016,17.46
13097,2016,20.86
13099,2016,16.47
13101,2016,8.04
13103,2016,16.05
13105,2016,18.39
13107,2016,15.55
13109,2016,24.37
13111,2016,15.27
13113,2016,29.43
13115,2016,22.29
13117,2016,28.53
13119,2016,16.97
13121,2016,41.66
13123,2016,17.92
13125,2016,12.74
13127,2016,20.12
13129,2016,16.60
13131,2016,17.34
13133,2016,26.02
13135,2016,30.12
13137,2016,18.95
13139,2016,20.82
13141,2016,15.38
13143,2016,13.79
13145,2016,18.72
13147,2016,19.25
13149,2016,11.19
13151,2016,20.38
13153,2016,21.53
13155,2016,10.26
13157,2016,18.75
13159,2016,14.85
13161,2016,16.00
13163,2016,14.91
13165,2016,16.33
13167,2016,13.75
13169,2016,15.55
13171,2016,14.63
13173,2016,12.47
13175,2016,18.44
13177,2016,13.89
13179,2016,19.37
13181,2016,15.67
13183,2016,12.41
13185,2016,16.64
13187,2016,17.40
13189,2016,15.88
13191,2016,14.96
13193,2016,16.38
13195,2016,15.42
13197,2016,10.77
13199,2016,16.46
13201,2016,15.09
13205,2016,13.12
13207,2016,18.32
13209,2016,13.75
13211,2016,21.03
13213,2016,12.49
13215,2016,22.17
13217,2016,18.97
13219,2016,28.20
13221,2016,15.66
13223,2016,20.86
13225,2016,16.91
13227,2016,19.04
13229,2016,17.94
13231,2016,15.36
13233,2016,15.60
13235,2016,19.57
13237,2016,21.05
13239,2016,14.80
13241,2016,20.42
13243,2016,11.27
13245,2016,21.70
13247,2016,23.14
13249,2016,14.23
13251,2016,18.68
13253,2016,17.61
13255,2016,19.45
13257,2016,22.08
13259,2016,9.71
13261,2016,18.21
13263,2016,10.61
13265,2016,12.18
13267,2016,17.90
13269,2016,13.25
13271,2016,14.07
13273,2016,11.89
13275,2016,19.73
13277,2016,16.31
13279,2016,20.06
13281,2016,20.58
13283,2016,12.08
13285,2016,18.65
13287,2016,10.46
13289,2016,11.49
13291,2016,17.55
13293,2016,15.92
13295,2016,21.59
13297,2016,18.06
13299,2016,14.53
13301,2016,15.21
13303,2016,21.81
13305,2016,14.97
13307,2016,12.47
