AK,2010,0.00
AK,2011,0.00
AK,2012,0.00
AK,2013,0.00
AK,2014,0.00
AK,03/2015,0.00
AL,2010,43.00
AL,2011,177.00
AL,2012,87.00
AL,2013,27.00
AL,2014,65.00
AL,03/2015,16.00
AR,2010,39.00
AR,2011,70.00
AR,2012,29.00
AR,2013,30.00
AR,2014,24.00
AR,03/2015,14.00
AZ,2010,17.00
AZ,2011,3.00
AZ,2012,0.00
AZ,2013,1.00
AZ,2014,2.00
AZ,03/2015,0.00
CA,2010,11.00
CA,2011,15.00
CA,2012,19.00
CA,2013,6.00
CA,2014,11.00
CA,03/2015,4.00
CO,2010,66.00
CO,2011,25.00
CO,2012,26.00
CO,2013,27.00
CO,2014,54.00
CO,03/2015,45.00
CT,2010,6.00
CT,2011,1.00
CT,2012,0.00
CT,2013,3.00
CT,2014,1.00
CT,03/2015,0.00
DC,2010,0.00
DC,2011,0.00
DC,2012,0.00
DC,2013,0.00
DC,2014,0.00
DC,03/2015,0.00
DE,2010,0.00
DE,2011,1.00
DE,2012,1.00
DE,2013,1.00
DE,2014,1.00
DE,03/2015,0.00
FL,2010,22.00
FL,2011,40.00
FL,2012,40.00
FL,2013,37.00
FL,2014,29.00
FL,03/2015,11.00
GA,2010,11.00
GA,2011,68.00
GA,2012,25.00
GA,2013,27.00
GA,2014,35.00
GA,03/2015,14.00
HI,2010,0.00
HI,2011,0.00
HI,2012,0.00
HI,2013,0.00
HI,2014,0.00
HI,03/2015,0.00
IA,2010,52.00
IA,2011,68.00
IA,2012,20.00
IA,2013,30.00
IA,2014,63.00
IA,03/2015,15.00
ID,2010,3.00
ID,2011,0.00
ID,2012,2.00
ID,2013,5.00
ID,2014,3.00
ID,03/2015,0.00
IL,2010,65.00
IL,2011,59.00
IL,2012,39.00
IL,2013,69.00
IL,2014,35.00
IL,03/2015,24.00
IN,2010,29.00
IN,2011,56.00
IN,2012,33.00
IN,2013,41.00
IN,2014,23.00
IN,03/2015,8.00
KS,2010,94.00
KS,2011,67.00
KS,2012,145.00
KS,2013,58.00
KS,2014,48.00
KS,03/2015,140.00
KY,2010,27.00
KY,2011,59.00
KY,2012,65.00
KY,2013,50.00
KY,2014,33.00
KY,03/2015,5.00
LA,2010,34.00
LA,2011,86.00
LA,2012,53.00
LA,2013,34.00
LA,2014,16.00
LA,03/2015,13.00
MA,2010,0.00
MA,2011,9.00
MA,2012,0.00
MA,2013,1.00
MA,2014,5.00
MA,03/2015,0.00
MD,2010,5.00
MD,2011,18.00
MD,2012,17.00
MD,2013,10.00
MD,2014,2.00
MD,03/2015,0.00
ME,2010,6.00
ME,2011,5.00
ME,2012,1.00
ME,2013,1.00
ME,2014,2.00
ME,03/2015,0.00
MI,2010,30.00
MI,2011,11.00
MI,2012,7.00
MI,2013,13.00
MI,2014,17.00
MI,03/2015,0.00
MN,2010,145.00
MN,2011,30.00
MN,2012,39.00
MN,2013,11.00
MN,2014,28.00
MN,03/2015,9.00
MO,2010,80.00
MO,2011,97.00
MO,2012,32.00
MO,2013,54.00
MO,2014,56.00
MO,03/2015,25.00
MS,2010,100.00
MS,2011,162.00
MS,2012,75.00
MS,2013,36.00
MS,2014,91.00
MS,03/2015,21.00
MT,2010,33.00
MT,2011,10.00
MT,2012,4.00
MT,2013,10.00
MT,2014,8.00
MT,03/2015,0.00
NC,2010,32.00
NC,2011,113.00
NC,2012,17.00
NC,2013,12.00
NC,2014,35.00
NC,03/2015,4.00
ND,2010,68.00
ND,2011,54.00
ND,2012,8.00
ND,2013,17.00
ND,2014,18.00
ND,03/2015,2.00
NE,2010,46.00
NE,2011,81.00
NE,2012,48.00
NE,2013,65.00
NE,2014,87.00
NE,03/2015,24.00
NH,2010,1.00
NH,2011,0.00
NH,2012,0.00
NH,2013,0.00
NH,2014,0.00
NH,03/2015,0.00
NJ,2010,1.00
NJ,2011,1.00
NJ,2012,1.00
NJ,2013,3.00
NJ,2014,0.00
NJ,03/2015,0.00
NM,2010,11.00
NM,2011,2.00
NM,2012,3.00
NM,2013,0.00
NM,2014,17.00
NM,03/2015,3.00
NV,2010,0.00
NV,2011,3.00
NV,2012,1.00
NV,2013,0.00
NV,2014,6.00
NV,03/2015,2.00
NY,2010,16.00
NY,2011,17.00
NY,2012,8.00
NY,2013,9.00
NY,2014,10.00
NY,03/2015,2.00
OH,2010,45.00
OH,2011,34.00
