,2016,0.00
01,2016,19.19
01001,2016,18.25
01003,2016,32.99
01005,2016,7.79
01007,2016,19.71
01009,2016,38.61
01011,2016,6.61
01013,2016,6.54
01015,2016,22.04
01017,2016,9.57
01019,2016,24.95
01021,2016,24.53
01023,2016,12.36
01025,2016,6.28
01027,2016,13.58
01029,2016,23.84
01031,2016,20.08
01033,2016,22.51
01035,2016,19.13
01037,2016,10.82
01039,2016,19.77
01041,2016,10.35
01043,2016,34.56
01045,2016,20.69
01047,2016,15.38
01049,2016,32.36
01051,2016,18.68
01053,2016,9.86
01055,2016,22.65
01057,2016,17.17
01059,2016,30.09
01061,2016,21.54
01063,2016,7.07
01065,2016,14.03
01067,2016,11.90
01069,2016,20.05
01071,2016,26.92
01073,2016,17.37
01075,2016,24.09
01077,2016,31.13
01079,2016,16.24
01081,2016,25.45
01083,2016,25.60
01085,2016,7.75
01087,2016,10.05
01089,2016,30.19
01091,2016,20.01
01093,2016,35.92
01095,2016,34.21
01097,2016,16.32
01099,2016,7.64
01101,2016,12.84
01103,2016,25.26
01105,2016,12.29
01107,2016,14.83
01109,2016,14.66
01111,2016,18.74
01113,2016,16.43
01115,2016,28.66
01117,2016,35.43
01119,2016,11.25
01121,2016,12.17
01123,2016,10.20
01125,2016,21.76
01127,2016,33.59
01129,2016,21.47
01131,2016,10.36
01133,2016,30.55
02701,2016,79.11
02702,2016,80.68
02703,2016,90.10
02704,2016,83.73
02705,2016,85.35
02706,2016,100.00
02707,2016,80.00
02708,2016,89.09
02709,2016,76.02
02710,2016,82.96
02711,2016,85.11
02712,2016,85.82
02713,2016,76.92
02714,2016,68.44
02715,2016,84.85
02716,2016,79.45
02717,2016,74.69
02718,2016,80.37
02719,2016,70.72
02720,2016,68.69
02721,2016,68.66
02722,2016,80.69
02723,2016,85.57
02724,2016,65.11
02725,2016,75.76
02726,2016,69.06
02727,2016,74.45
02728,2016,71.59
02729,2016,80.00
02730,2016,74.61
02731,2016,88.27
02732,2016,86.86
02733,2016,82.63
02734,2016,77.72
02735,2016,80.47
02736,2016,82.97
02737,2016,78.20
02738,2016,83.33
02739,2016,74.32
02740,2016,85.90
04001,2016,29.96
04003,2016,40.30
04005,2016,55.54
04007,2016,36.36
04009,2016,45.11
04011,2016,35.68
04012,2016,44.38
04013,2016,41.28
04015,2016,39.30
04017,2016,35.95
04019,2016,42.53
04021,2016,36.12
04023,2016,32.88
04025,2016,45.88
04027,2016,33.28
05,2016,29.97
05001,2016,15.19
05003,2016,33.79
05005,2016,36.20
05007,2016,44.98
05009,2016,38.51
05011,2016,14.83
05013,2016,33.54
05015,2016,49.98
05017,2016,14.61
05019,2016,22.51
05021,2016,35.49
05023,2016,28.62
05025,2016,24.68
05027,2016,22.42
05029,2016,29.71
05031,2016,33.58
05033,2016,34.48
05035,2016,16.27
05037,2016,21.69
05039,2016,29.57
05041,2016,22.45
05043,2016,25.73
05045,2016,39.93
05047,2016,29.64
05049,2016,37.39
05051,2016,30.16
05053,2016,28.82
05055,2016,31.01
05057,2016,16.58
05059,2016,29.81
05061,2016,18.45
05063,2016,31.83
05065,2016,30.15
05067,2016,23.39
05069,2016,16.76
05071,2016,34.14
05073,2016,24.81
05075,2016,38.56
05077,2016,7.87
05079,2016,19.22
05081,2016,32.50
05083,2016,28.23
05085,2016,31.97
05087,2016,41.42
05089,2016,41.33
05091,2016,20.88
05093,2016,13.87
05095,2016,29.61
05097,2016,29.65
05099,2016,28.00
05101,2016,51.59
05103,2016,18.82
05105,2016,34.91
05107,2016,18.37
05109,2016,29.90
05111,2016,23.08
05113,2016,42.37
05115,2016,40.06
05117,2016,35.45
05119,2016,22.95
05121,2016,33.27
05123,2016,14.96
05125,2016,31.08
05127,2016,31.54
05129,2016,41.84
05131,2016,37.11
05133,2016,30.42
05135,2016,31.05
05137,2016,41.89
05139,2016,32.98
05141,2016,34.41
05143,2016,47.95
05145,2016,27.92
05147,2016,22.72
05149,2016,34.78
06001,2016,48.05
06003,2016,54.37
06005,2016,47.82
06007,2016,62.03
06009,2016,48.50
06011,2016,47.81
06013,2016,42.72
06015,2016,57.65
06017,2016,49.64
06019,2016,42.74
06021,2016,51.49
06023,2016,70.41
06025,2016,33.75
06027,2016,55.68
06029,2016,43.91
06031,2016,39.94
06033,2016,55.67
06035,2016,53.70
06037,2016,44.60
06039,2016,44.36
06041,2016,43.27
06043,2016,54.18
06045,2016,66.53
06047,2016,45.34
06049,2016,52.48
06051,2016,56.20
06053,2016,46.30
06055,2016,45.89
06057,2016,62.42
06059,2016,47.26
06061,2016,44.83
06063,2016,53.68
06065,2016,42.82
06067,2016,44.43
06069,2016,44.62
06071,2016,44.16
06073,2016,47.75
06075,2016,45.91
06077,2016,42.19
06079,2016,52.58
06081,2016,40.76
06083,2016,52.43
06085,2016,41.87
06087,2016,58.95
06089,2016,52.44
06091,2016,56.36
06093,2016,60.04
06095,2016,43.83
06097,2016,52.03
06099,2016,47.08
06101,2016,45.37
06103,2016,51.42
06105,2016,63.27
06107,2016,43.73
06109,2016,50.48
06111,2016,47.94
06113,2016,51.25
06115,2016,52.37
08,2016,59.01
08001,2016,61.17
08003,2016,63.02
08005,2016,53.01
08007,2016,64.20
08009,2016,29.79
08011,2016,44.44
08013,2016,63.59
08014,2016,63.16
08015,2016,65.16
08017,2016,40.00
08019,2016,55.28
08021,2016,40.00
08023,2016,20.35
08025,2016,50.00
08027,2016,56.96
08029,2016,69.62
08031,2016,54.37
08033,2016,62.86
08035,2016,49.70
08037,2016,63.70
08039,2016,61.28
08041,2016,60.94
08043,2016,57.14
08045,2016,61.47
08047,2016,69.76
08049,2016,63.82
08051,2016,76.35
08053,2016,71.43
08055,2016,58.37
08057,2016,44.44
08059,2016,59.86
08061,2016,18.18
08063,2016,59.26
08065,2016,73.99
08067,2016,63.96
08069,2016,67.12
08071,2016,52.59
08073,2016,33.33
08075,2016,46.67
08077,2016,57.30
08079,2016,59.52
08081,2016,56.00
08083,2016,67.32
08085,2016,54.89
08087,2016,55.41
08089,2016,54.34
08091,2016,64.46
08093,2016,66.19
08095,2016,56.25
08097,2016,54.68
08099,2016,31.03
08101,2016,46.95
08103,2016,69.23
08105,2016,55.14
08107,2016,63.04
08109,2016,81.11
08111,2016,71.05
08113,2016,78.33
08115,2016,38.10
08117,2016,60.03
08119,2016,62.22
08121,2016,52.17
08123,2016,62.31
08125,2016,39.29
09001,2016,38.27
09003,2016,44.79
09005,2016,56.44
09007,2016,52.71
09009,2016,46.30
09011,2016,54.52
09013,2016,59.90
09015,2016,59.57
10001,2016,39.89
10003,2016,39.71
10005,2016,36.38
11001,2016,20.83
12,2016,33.27
12001,2016,48.96
