,2016,0.00
01,2016,0.46
01001,2016,0.47
01003,2016,0.45
01005,2016,0.32
01007,2016,0.43
01009,2016,0.37
01011,2016,1.26
01013,2016,0.66
01015,2016,0.64
01017,2016,0.79
01019,2016,0.37
01021,2016,0.59
01023,2016,0.93
01025,2016,0.33
01027,2016,1.06
01029,2016,1.55
01031,2016,0.66
01033,2016,0.18
01035,2016,0.61
01037,2016,0.45
01039,2016,0.81
01041,2016,0.44
01043,2016,0.37
01045,2016,0.61
01047,2016,0.91
01049,2016,0.39
01051,2016,0.54
01053,2016,0.49
01055,2016,0.41
01057,2016,0.50
01059,2016,0.33
01061,2016,0.66
01063,2016,0.73
01065,2016,0.18
01067,2016,0.55
01069,2016,0.68
01071,2016,0.37
01073,2016,0.36
01075,2016,0.78
01077,2016,0.36
01079,2016,0.55
01081,2016,0.61
01083,2016,0.37
01085,2016,0.12
01087,2016,0.54
01089,2016,0.31
01091,2016,0.93
01093,2016,0.56
01095,2016,0.30
01097,2016,0.49
01099,2016,0.53
01101,2016,0.64
01103,2016,0.25
01105,2016,0.53
01107,2016,0.70
01109,2016,0.79
01111,2016,0.77
01113,2016,0.53
01115,2016,0.41
01117,2016,0.37
01119,2016,1.41
01121,2016,0.59
01123,2016,0.62
01125,2016,0.41
01127,2016,0.46
01129,2016,0.21
01131,2016,0.57
01133,2016,0.45
02,2016,0.00
04001,2016,2.10
04003,2016,0.59
04005,2016,0.74
04007,2016,0.49
04009,2016,1.11
04011,2016,0.95
04012,2016,0.56
04013,2016,0.72
04015,2016,0.46
04017,2016,0.76
04019,2016,0.73
04021,2016,0.62
04023,2016,1.18
04025,2016,0.59
04027,2016,0.76
05,2016,0.59
05001,2016,0.90
05003,2016,0.62
05005,2016,0.60
05007,2016,0.80
05009,2016,0.58
05011,2016,1.15
05015,2016,0.48
05017,2016,0.12
05019,2016,0.23
05021,2016,0.72
05023,2016,0.68
05025,2016,0.47
05027,2016,1.08
05029,2016,0.36
05031,2016,0.84
05033,2016,0.30
05035,2016,0.70
05037,2016,0.50
05039,2016,0.91
05041,2016,0.89
05043,2016,0.51
05045,2016,0.56
05047,2016,0.45
05049,2016,0.22
05051,2016,0.65
05053,2016,0.25
05055,2016,1.20
05057,2016,0.25
05059,2016,0.35
05061,2016,0.55
05063,2016,0.32
05065,2016,0.10
05067,2016,0.48
05069,2016,0.34
05071,2016,0.36
05073,2016,0.13
05075,2016,0.72
05077,2016,0.91
05079,2016,0.23
05081,2016,0.52
05083,2016,0.33
05085,2016,0.92
05087,2016,0.63
05089,2016,0.97
05091,2016,0.67
05093,2016,1.30
05097,2016,0.56
05099,2016,0.44
05101,2016,0.44
05103,2016,0.36
05105,2016,0.76
05107,2016,0.62
05109,2016,0.27
05111,2016,0.19
05113,2016,0.62
05115,2016,0.62
05117,2016,0.27
05119,2016,0.56
05121,2016,0.30
