,2016,0.00
01,2016,21.09
01001,2016,20.48
01003,2016,17.02
01005,2016,17.77
01007,2016,25.45
01009,2016,24.39
01011,2016,16.97
01013,2016,16.68
01015,2016,19.43
01017,2016,20.11
01019,2016,17.23
01021,2016,21.78
01023,2016,21.05
01025,2016,19.28
01027,2016,20.89
01029,2016,21.13
01031,2016,23.27
01033,2016,19.62
01035,2016,15.96
01037,2016,19.56
01039,2016,18.51
01041,2016,21.93
01043,2016,20.25
01045,2016,21.90
01047,2016,20.66
01049,2016,16.39
01051,2016,18.35
01053,2016,17.14
01055,2016,20.75
01057,2016,20.97
01059,2016,21.29
01061,2016,23.73
01063,2016,21.61
01065,2016,24.98
01067,2016,22.28
01069,2016,22.56
01071,2016,16.37
01073,2016,23.82
01075,2016,19.26
01077,2016,18.36
01079,2016,17.53
01081,2016,23.17
01083,2016,21.39
01085,2016,16.31
01087,2016,19.78
01089,2016,20.69
01091,2016,21.17
01093,2016,19.15
01095,2016,15.12
01097,2016,21.41
01099,2016,17.42
01101,2016,17.59
01103,2016,19.73
01105,2016,32.80
01107,2016,25.74
01109,2016,20.15
01111,2016,20.65
01113,2016,27.03
01115,2016,26.88
01117,2016,26.37
01119,2016,15.90
01121,2016,19.98
01123,2016,15.01
01125,2016,25.05
01127,2016,20.37
01129,2016,21.82
01131,2016,21.59
01133,2016,18.01
02,2016,36.36
02701,2016,39.22
02702,2016,40.71
02703,2016,48.43
02704,2016,45.15
02705,2016,41.61
02706,2016,38.76
02707,2016,36.93
02708,2016,38.28
02709,2016,39.57
02710,2016,34.43
02711,2016,42.76
02712,2016,38.86
02713,2016,40.07
02714,2016,35.64
02715,2016,43.03
02716,2016,36.38
02717,2016,33.12
02718,2016,31.30
02719,2016,33.07
02720,2016,28.44
02721,2016,30.34
02722,2016,29.64
02723,2016,34.65
02724,2016,31.91
02725,2016,36.23
02726,2016,34.71
02727,2016,41.80
02728,2016,30.04
02729,2016,38.41
02730,2016,37.99
02731,2016,38.39
02732,2016,26.93
02733,2016,26.91
02734,2016,35.10
02735,2016,27.84
02736,2016,21.71
02737,2016,37.61
02738,2016,21.95
02739,2016,24.73
02740,2016,28.57
04001,2016,39.31
04003,2016,30.75
04005,2016,36.63
04007,2016,26.41
04009,2016,42.40
04011,2016,37.68
04012,2016,19.12
04013,2016,26.24
04015,2016,22.40
04017,2016,41.85
04019,2016,28.83
04021,2016,27.92
04023,2016,27.12
