AK,06/2014,0.01
AL,06/2014,8.14
AR,06/2014,2.31
AZ,06/2014,1.71
CA,06/2014,0.60
CO,06/2014,8.63
CT,06/2014,3.37
DC,06/2014,6.22
DE,06/2014,2.17
FL,06/2014,10.13
GA,06/2014,10.85
HI,06/2014,0.86
IA,06/2014,4.52
ID,06/2014,1.29
IL,06/2014,11.91
IN,06/2014,38.39
KS,06/2014,6.82
KY,06/2014,1.95
LA,06/2014,1.09
MA,06/2014,11.02
MD,06/2014,4.47
ME,06/2014,0.65
MI,06/2014,1.74
MN,06/2014,7.90
MO,06/2014,4.94
MS,06/2014,13.83
MT,06/2014,0.31
NC,06/2014,6.10
ND,06/2014,59.31
NE,06/2014,14.46
NH,06/2014,16.13
NJ,06/2014,3.56
NM,06/2014,1.07
NV,06/2014,7.98
NY,06/2014,8.49
OH,06/2014,1.33
OK,06/2014,1.05
OR,06/2014,60.67
PA,06/2014,10.10
RI,06/2014,97.61
SC,06/2014,5.43
SD,06/2014,21.38
TN,06/2014,17.79
TX,06/2014,2.63
UT,06/2014,45.63
VA,06/2014,4.32
VT,06/2014,5.23
WA,06/2014,16.06
WI,06/2014,0.51
WV,06/2014,0.00
WY,06/2014,0.71
