,2014,0.00
00001,08/2014,63.63
00002,08/2014,46.42
00004,08/2014,53.63
00005,08/2014,55.42
00006,08/2014,41.35
00008,08/2014,47.00
00009,08/2014,48.18
00012,08/2014,48.20
00013,08/2014,52.80
00015,08/2014,37.08
00016,08/2014,53.53
00017,08/2014,50.59
00019,08/2014,59.04
00020,08/2014,49.95
00023,08/2014,48.24
00024,08/2014,51.47
00025,08/2014,48.45
00026,08/2014,50.92
00027,08/2014,44.51
00031,08/2014,57.56
00032,08/2014,70.59
00033,08/2014,47.33
00035,08/2014,57.34
00036,08/2014,40.58
00039,08/2014,63.85
00040,08/2014,55.82
00041,08/2014,44.41
00042,08/2014,45.19
00044,08/2014,36.19
00045,08/2014,55.93
00046,08/2014,70.47
00047,08/2014,70.28
00048,08/2014,59.26
00050,08/2014,45.08
00055,08/2014,52.29
00056,08/2014,59.29
01,2014,63.56
01001,2014,72.01
01003,2014,81.61
01005,2014,45.97
01007,2014,71.94
01009,2014,84.56
01011,2014,23.39
01013,2014,53.37
01015,2014,65.98
01017,2014,55.81
01019,2014,72.79
01021,2014,78.74
01023,2014,54.96
01025,2014,58.62
01027,2014,72.39
01029,2014,81.27
01031,2014,77.99
01033,2014,60.79
01035,2014,50.29
01037,2014,58.84
01039,2014,77.55
01041,2014,62.51
01043,2014,81.65
01045,2014,74.48
01047,2014,32.69
01049,2014,77.25
01051,2014,73.10
01053,2014,66.41
01055,2014,66.26
01057,2014,71.06
01059,2014,65.31
01061,2014,83.33
01063,2014,15.85
01065,2014,38.71
01067,2014,65.15
01069,2014,73.34
01071,2014,71.65
01073,2014,50.01
01075,2014,71.62
01077,2014,67.73
01079,2014,63.83
01081,2014,61.56
01083,2014,76.35
01085,2014,27.26
01087,2014,14.64
01089,2014,69.21
01091,2014,45.56
01093,2014,74.17
01095,2014,83.01
01097,2014,58.22
01099,2014,57.54
01101,2014,41.55
01103,2014,76.78
01105,2014,26.75
01107,2014,58.27
01109,2014,58.16
01111,2014,67.89
01113,2014,48.25
01115,2014,81.78
01117,2014,79.46
01119,2014,25.29
01121,2014,58.94
01123,2014,66.39
01125,2014,59.48
01127,2014,72.04
01129,2014,65.18
01131,2014,31.59
01133,2014,79.27
02,2014,45.88
02701,2014,42.37
02702,2014,50.37
02703,2014,56.43
02704,2014,35.66
02705,2014,39.25
02706,2014,45.79
02707,2014,56.35
02708,2014,56.57
02709,2014,48.72
02710,2014,54.35
02711,2014,56.06
02712,2014,56.54
02713,2014,55.97
02714,2014,56.05
02715,2014,46.55
02716,2014,40.80
02717,2014,38.22
02718,2014,34.81
02719,2014,34.76
02720,2014,30.86
02721,2014,39.23
02722,2014,47.69
02723,2014,43.57
02724,2014,49.78
02725,2014,44.68
02726,2014,52.27
02727,2014,44.36
02728,2014,49.23
02729,2014,58.12
02730,2014,61.59
02731,2014,44.93
02732,2014,40.28
02733,2014,31.10
02734,2014,46.01
02735,2014,40.65
02736,2014,47.43
02737,2014,38.03
02738,2014,30.74
02739,2014,36.31
02740,2014,36.23
04,2014,53.35
04001,2014,28.46
04001,08/2014,27.12
04003,2014,59.27
04003,08/2014,59.61
04005,2014,39.26
04005,08/2014,39.67
04007,2014,60.59
04007,08/2014,58.65
04009,2014,68.55
04009,08/2014,68.55
04011,2014,51.74
04011,08/2014,51.74
04012,2014,68.38
04012,08/2014,68.43
04013,2014,54.60
04013,08/2014,55.01
04015,2014,70.94
04015,08/2014,71.07
04017,2014,49.53
04017,08/2014,48.88
04019,2014,45.37
04019,08/2014,45.91
04021,2014,57.72
04021,08/2014,58.09
04023,2014,34.01
04023,08/2014,34.01
04025,2014,63.00
04025,08/2014,62.99
04027,2014,55.95
04027,08/2014,57.51
05,2014,55.44
05001,2014,52.51
05001,08/2014,52.51
05003,2014,48.62
05003,08/2014,48.62
05005,2014,64.83
05005,08/2014,64.84
05007,2014,69.17
05007,08/2014,69.25
05009,2014,67.05
05009,08/2014,67.04
05011,2014,46.80
05011,08/2014,46.78
05013,2014,52.40
05013,08/2014,52.41
05015,2014,57.31
05015,08/2014,57.34
05017,2014,29.23
05017,08/2014,29.23
05019,2014,40.65
05019,08/2014,40.65
05021,2014,48.37
05021,08/2014,48.37
05023,2014,67.53
05023,08/2014,67.53
05025,2014,56.97
05025,08/2014,56.97
05027,2014,53.74
05027,08/2014,53.74
05029,2014,52.97
05029,08/2014,52.98
05031,2014,56.07
05031,08/2014,56.11
05033,2014,68.90
05033,08/2014,68.90
05035,2014,42.34
05035,08/2014,42.39
05037,2014,55.05
05037,08/2014,55.24
05039,2014,45.08
05039,08/2014,45.07
05041,2014,31.01
05041,08/2014,31.01
05043,2014,48.34
05043,08/2014,48.34
05045,2014,60.52
05045,08/2014,60.53
05047,2014,63.28
05047,08/2014,63.30
05049,2014,55.19
05049,08/2014,55.19
05051,2014,57.35
05051,08/2014,57.30
05053,2014,62.16
05053,08/2014,62.15
05055,2014,57.33
05055,08/2014,57.44
05057,2014,49.33
05057,08/2014,49.42
05059,2014,52.61
05059,08/2014,52.64
05061,2014,48.06
05061,08/2014,48.07
05063,2014,62.30
05063,08/2014,62.40
05065,2014,56.72
05065,08/2014,56.71
05067,2014,47.72
05067,08/2014,47.72
05069,2014,32.08
05069,08/2014,32.10
05071,2014,56.98
05071,08/2014,57.09
05073,2014,48.68
05073,08/2014,48.68
05075,2014,50.81
05075,08/2014,50.81
05077,2014,33.93
05077,08/2014,34.11
05079,2014,47.81
05079,08/2014,47.83
05081,2014,48.80
05081,08/2014,48.79
05083,2014,60.24
05083,08/2014,60.23
05085,2014,68.47
05085,08/2014,68.51
05087,2014,61.25
05087,08/2014,61.19
05089,2014,63.60
05089,08/2014,63.60
05091,2014,61.22
05091,08/2014,61.22
05093,2014,42.24
05093,08/2014,42.55
05095,2014,42.98
05095,08/2014,42.98
05097,2014,58.50
05097,08/2014,58.54
05099,2014,39.09
05099,08/2014,39.09
05101,2014,62.76
05101,08/2014,62.76
05103,2014,43.64
05103,08/2014,43.64
05105,2014,57.66
05105,08/2014,57.66
05107,2014,32.80
05107,08/2014,32.87
05109,2014,56.03
05109,08/2014,56.02
05111,2014,53.75
05111,08/2014,53.75
05113,2014,64.53
05113,08/2014,64.54
05115,2014,66.79
05115,08/2014,66.79
05117,2014,58.78
05117,08/2014,58.74
05119,2014,41.55
05119,08/2014,41.55
05121,2014,51.38
05121,08/2014,51.37
05123,2014,36.24
05123,08/2014,36.27
05125,2014,65.00
05125,08/2014,65.00
05127,2014,61.92
05127,08/2014,61.92
05129,2014,70.95
05129,08/2014,70.95
05131,2014,65.51
05131,08/2014,65.53
05133,2014,53.69
05133,08/2014,53.69
05135,2014,59.78
05135,08/2014,59.77
05137,2014,62.17
05137,08/2014,62.17
05139,2014,53.33
05139,08/2014,53.33
05141,2014,60.38
05141,08/2014,60.36
05143,2014,55.25
05143,08/2014,55.25
05145,2014,68.62
05145,08/2014,68.62
05147,2014,35.27
05147,08/2014,35.27
05149,2014,57.13
05149,08/2014,57.11
06,2014,40.03
06001,2014,17.83
06001,08/2014,19.13
06003,2014,38.13
06003,08/2014,38.13
06005,2014,55.45
06005,08/2014,55.77
06007,2014,52.21
06007,08/2014,52.76
06009,2014,56.27
06009,08/2014,56.10
06011,2014,57.27
06011,08/2014,57.93
06013,2014,31.35
06013,08/2014,32.58
06015,2014,50.36
06015,08/2014,50.60
06017,2014,54.50
06017,08/2014,54.44
06019,2014,52.38
06019,08/2014,53.43
06021,2014,65.60
06021,08/2014,65.94
06023,2014,35.39
06023,08/2014,36.41
06025,2014,35.74
06025,08/2014,36.05
06027,2014,57.32
06027,08/2014,56.86
06029,2014,59.10
06029,08/2014,60.07
06031,2014,60.80
06031,08/2014,61.09
06033,2014,38.72
06033,08/2014,39.34
06035,2014,67.56
06035,08/2014,67.23
06037,2014,33.16
06037,08/2014,33.72
06039,2014,62.78
06039,08/2014,62.64
06041,2014,20.65
06041,08/2014,21.99
06043,2014,61.77
06043,08/2014,62.03
06045,2014,28.24
06045,08/2014,30.02
06047,2014,49.87
06047,08/2014,50.15
06049,2014,72.80
06049,08/2014,72.64
06051,2014,46.91
06051,08/2014,47.06
06053,2014,30.57
06053,08/2014,31.53
06055,2014,31.81
06055,08/2014,32.66
06057,2014,45.37
06057,08/2014,47.40
06059,2014,55.57
06059,08/2014,56.31
06061,2014,54.59
06061,08/2014,54.47
06063,2014,58.25
06063,08/2014,58.25
06065,2014,52.91
06065,08/2014,53.57
06067,2014,37.67
06067,08/2014,38.92
06069,2014,36.48
06069,08/2014,37.51
06071,2014,53.14
06071,08/2014,53.51
06073,2014,48.93
06073,08/2014,50.02
06075,2014,11.85
06075,08/2014,12.47
06077,2014,46.46
06077,08/2014,46.93
06079,2014,45.68
06079,08/2014,45.40
06081,2014,24.78
06081,08/2014,25.84
06083,2014,41.74
06083,08/2014,42.64
